Назва,місто/район,Зібрана площа га
Одеська область,місто,263575
м.Одеса,місто,
м.Балта,місто,10649
м.Білгород-Дністровський,місто,768
м.Біляївка,місто,692
м.Ізмаїл,місто,1241
Ананьївський,район,10511
Арцизький,район,11667
Балтський,район,3820
Білгород-Дністровський,район,5754
Біляївський,район,6467
Березівський,район,15834
Болградський,район,11819
Великомихайлівський,район,14385
Іванівський,район,14052
Ізмаїльський,район,11518
Кілійський,район,5228
Кодимський,район,6923
Лиманський,район,10331
Подільський,район,9771
Окнянський,район,10962
Любашівський,район,15047
Миколаївський,район,8183
Овідіопольський,район,3377
Роздільнянський,район,10238
Ренійський,район,3319
Савранський,район,4900
Саратський,район,12902
Тарутинський,район,13769
Татарбунарський,район,3903
Захарівський,район,7610
Ширяївський,район,17935
